ticker,Mean R^2,"Mean R^2, firm","Mean R^2, year","Mean R^2, rolling"
A,0.2279561161994934,0.10174299617566451,0.09034532044704713,0.02693863069433866
AA,0.11660218238830566,0.11891961425251196,-0.05911853701912517,-0.030420465960201426
AABA,0.6523706912994385,0.45675221622663464,0.38970808897666864,0.2309138927140909
AAC,-0.009528279304504395,0.11148952047200833,0.10373223576730728,0.0828791408463948
AACC,-0.23974299430847168,-0.23923489502324635,-0.16996683018718373,-0.21990216783778127
AAI,0.4124410152435303,0.8815229561656123,-34.807050554993204,-16.598395054209117
AAL,0.2776362895965576,0.2684217784988344,-0.006485058263283383,0.12781751455929413
AAN,0.06910628080368042,0.004781037574285385,-0.07468373182262322,-0.043689057841795
AAOI,0.18457120656967163,-0.2865582019410078,0.26926221881118484,0.24522747760826646
AAON,0.14402925968170166,-0.026314126047050745,0.026002600208845927,0.024096541916426628
AAP,0.10512524843215942,0.09231342872494475,0.09611104574758811,0.04020754194393161
AAPL,0.13043171167373657,-0.23732539921338391,0.07149228072001923,0.04061296172314721
AAT,0.20896166563034058,0.12556166854266892,-0.027387779730566386,-0.09099290793185122
AATI,-0.8784414529800415,0.027512448697276648,-2.6896216582060672,-2.6417485957894833
AAV,0.07617127895355225,0.044882013486293615,-0.06486049847810094,-0.06498030746393169
AAWW,-0.007124662399291992,-0.0826325516225741,0.014076103102377724,0.0586652067916037
AAXN,0.1807088851928711,0.15020884473321539,0.045390643472642433,0.043007163128947035
AB,0.1816578507423401,0.16325603004555256,-0.06655720252625685,-0.06592535986967873
ABAT,-0.4637176990509033,-1.2873307994000736,-0.49928927177800353,-0.9081394873800841
ABAX,-0.08290255069732666,-0.08579274167306816,-0.04614023857048477,-0.07588171294756174
ABB,0.22539407014846802,0.09233587407313981,0.059560067061904864,0.01846026764251274
ABBV,0.07768261432647705,0.01461711984944103,-0.04527987267906086,-0.0731429247035984
ABC,0.174169659614563,0.020473853738054548,0.10997463677436492,0.06982707154720058
ABCB,0.1811646819114685,0.17795347213437196,-0.01039703082529475,0.026849599693288706
ABCO,0.005209743976593018,0.0020783366430423555,0.09547780828329555,0.09786483547598568
ABEO,0.10188484191894531,0.03168745282177343,-0.04729579261777306,-0.04573017383746025
ABEV,0.11505824327468872,-0.25207029757457744,0.21018384487339092,0.10045849619789105
ABG,0.1529238224029541,0.15239912904610964,0.012989812793267275,0.023757754851294277
ABK,0.6019991338253021,0.026035170004223063,0.6440044167544288,0.6349384775377094
ABM,0.11890345811843872,0.059246108609003145,0.03576616503529295,-0.07231263642162666
ABMD,0.1775587797164917,-0.07506370560753428,0.24704104943248317,0.25590262064175084
ABR,0.245289146900177,0.20705625268658745,-0.07388650629627214,-0.06558447282744995
ABT,0.19719380140304565,-0.04406772473742859,0.09252090950446845,0.03206869688801617
ABTL,0.36010921001434326,-0.21519165998487821,0.4535365398057294,0.4709366681252787
ABUS,0.09766024351119995,-0.04062314647053489,0.03759890751935502,0.06550229097477556
ABVT,-0.697986364364624,0.414171830811634,-0.7362621247749697,-0.7161851072147134
ABX,0.07565528154373169,0.046757997799661166,0.0928793949461536,0.07917460514070718
ACA,0.0806012749671936,0.08005980136892399,0.30156033663388127,0.23808931169842784
ACAD,0.21723514795303345,0.019131255392346058,0.39068929730800295,0.3871924520589939
ACAS,0.20115160942077637,0.20284711250854437,0.0747417162341566,0.07350700833706991
ACAT,-0.15311551094055176,-0.1810937305051601,0.0017512359423367263,0.03774789587750793
ACB,0.34490978717803955,-0.4454674490795787,-0.2613269357314434,-0.15555818698249024
ACC,0.22317248582839966,0.07383638126734937,0.04669738933473744,0.04773410474185524
ACCL,0.10259604454040527,0.0750984203499615,-0.1595640730272181,-0.0011753392574826993
ACCO,-0.012826800346374512,-0.0367259946544658,-0.30474815986470905,-0.29736294699515864
ACE,0.4561242461204529,0.10298155509721374,0.2906794447396319,0.2638628014111919
ACF,-17.28885841369629,0.4011599008403294,-2.611585167397943,-0.8868735362398703
ACGL,0.32509249448776245,0.23211564359450043,0.12629822785123646,0.145059469689776
ACGY,-0.04914653301239014,0.21874760889755762,-0.11486669060819321,-0.08216110097641738
ACH,-0.042284488677978516,-0.0748621197584054,-0.031905009109087334,-0.02439247949242973
ACHC,0.11048126220703125,-0.0429161377932743,-0.11192094256949248,-0.10600138053630404
ACHN,0.07735908031463623,-0.18068960672915724,0.239961725956923,0.23576165872979837
ACIW,0.12890523672103882,-0.07206262830698629,-0.018830309223626163,-0.0764821164791154
ACL,-0.0677499771118164,0.37990700853280823,-0.029585571810563538,0.06648301906273113
ACLI,-0.6652654409408569,0.3313725242892651,-0.39158641636950775,-0.2804061308140433
ACM,0.1238788366317749,0.12273385488885291,-0.041542335125362984,-0.035030341538218934
ACMP,0.7588332891464233,0.3819727107332934,0.6023682115963582,0.5693749195344675
ACN,0.11117547750473022,-0.026032022359496976,-0.018670921630254078,0.01796256358430892
ACO,-0.5283650159835815,-0.5103285654031926,-0.34086077316681496,-0.3370596199378124
ACOM,0.2513963580131531,0.1956632658613594,0.3055261914180638,0.26477749595254474
ACOR,0.19152933359146118,0.037319786659385956,0.26738124812686037,0.3068041838763884
ACRE,0.2804458737373352,0.21461981427514432,0.04969669111469632,0.07555504931322055
ACRS,0.18291646242141724,0.007759386465637341,0.2565582914620145,0.30568680333116693
ACRX,0.25303971767425537,0.008474631831019597,0.3827164868439423,0.4120834888646119
ACT,0.3239070773124695,0.15147680189594592,0.13105057579636026,0.09600969446519259
ACTA,-0.16344594955444336,-0.30152001494544356,-0.24554422322689207,-0.27488470890049976
