ticker,Mean R^2,"Mean R^2, firm","Mean R^2, year","Mean R^2, rolling"
A,0.2708318829536438,-0.004924461952690917,0.23520475379967454,0.22064457792780323
AA,-0.05766487121582031,-0.05790796061125203,-0.12964106600612624,-0.11855154107801735
AABA,0.42034250497817993,0.041755147453643615,0.40889101895154156,0.37588854507724145
AAC,0.504631906747818,0.050880026719077986,0.5624515539401126,0.5606786702146238
AACC,-0.04408085346221924,-0.2605113325757724,-0.14509207596584206,-0.15874480056495743
AAI,0.052619099617004395,-5.613029566518582,0.19342041481609906,0.2133062202233149
AAL,0.2637532949447632,0.15921617150836165,-0.012985650148278793,0.08210949134756573
AAN,-0.08092617988586426,-0.13757822520691065,-0.15827873468249165,-0.10379625965833683
AAOI,0.13096129894256592,0.10168322100849225,0.09565934199389037,0.08605071051434443
AAON,-0.3212062120437622,-0.6571406727599178,-0.2862011129242583,-0.24921736658624827
AAP,-0.017902255058288574,-0.016155849302222025,0.017828820876357843,0.01892950950679706
AAPL,0.21137595176696777,-0.01605403687324891,0.1714087282697785,0.14622929051597322
AAT,0.4535844326019287,0.3905304560608277,0.25104700909543765,0.23035482314800138
AATI,-0.05190575122833252,0.0687426881928962,0.11950847700597977,0.1682955186018682
AAV,0.0738103985786438,0.07886224245098095,-0.023618222497525432,-0.010912068905196914
AAWW,0.04142564535140991,0.0035494066684551573,0.03925410890339942,0.10195483736444577
AAXN,0.2759389877319336,-0.49089710812575293,0.009627812229488497,0.06885125997818742
AB,0.04598051309585571,-0.01561296565974546,0.008089356770841993,-0.00701983869075451
ABAX,-0.07050716876983643,-0.11707028301166744,-0.1297337750918226,-0.11129957533553925
ABB,0.430392861366272,0.21165372471463428,0.3534990442376379,0.3361944867768625
ABBV,-0.23377108573913574,-0.2226510291071655,-0.26074690550713764,-0.24853030604185866
ABC,0.24879813194274902,0.055261707921465786,0.18767519141270117,0.18387006050430976
ABCB,0.12620878219604492,0.09170337913911653,0.049425825105544274,0.02674647455399637
ABCO,-0.08427870273590088,-0.09234665600416392,-0.05056795844812356,-0.008562345147658412
ABEO,0.36997485160827637,-0.31096035028651436,0.4038563164050103,0.3911774882308422
ABEV,0.11966544389724731,0.11449608105965203,0.016768855441898545,0.06407429744952853
ABG,0.06429952383041382,0.06024193475936801,-0.00140122355622041,-0.015153454966020163
ABK,0.9263107404112816,-0.09646056975263195,0.9631410178826549,0.5976303229701332
ABM,0.15916430950164795,0.07141965560542551,0.10557586049595047,0.08874439157953418
ABMD,-0.05532193183898926,-0.21877948917913326,0.045035875936835223,0.09546600897801472
ABR,0.5093296468257904,0.5047075161429819,0.3933907546509867,0.410745434195087
ABT,0.3538581132888794,0.12739028459028712,0.31197186182317593,0.30284990739509154
ABTL,0.17267167568206787,-0.8096172524228378,0.2837164114440107,0.37150818033630195
ABUS,0.3163895606994629,-0.07921166305154115,0.2974022938045707,0.29438141254882866
ABVT,0.2423040270805359,0.25613866293968124,0.1839037479833252,0.202815785465574
ABX,-0.011383295059204102,-0.020193280531975777,-0.0853585119712017,-0.0667094705002762
ACA,-0.22518861293792725,0.6916070285520535,0.5175517873865372,0.3910247736928457
ACAD,0.32096755504608154,-0.29769202397879213,0.37309516564791545,0.37523355830563465
ACAS,0.32969653606414795,0.40558006951846526,0.17446404675547533,0.17505821897489193
ACAT,0.11929404735565186,0.1156877690333935,0.011195010383505233,0.07153239136233769
ACB,0.36898916959762573,-4.284056248204691,0.007060508192884618,0.12343029024196028
ACC,0.32473957538604736,0.2062863154848955,0.23938752635802119,0.2327580240020204
ACCL,-0.041333675384521484,-0.1898467518216822,0.16175445029761837,0.15813937861597716
ACCO,-0.02142167091369629,-0.3205694079448802,-0.09378671048510134,-0.055470777579558206
ACE,0.3937034010887146,0.17591886329593642,0.29843116570447237,0.29131846143659856
ACF,0.09556525945663452,-3.0927178055933817,0.1786246810380715,0.14080327897020484
ACGL,0.4432793855667114,0.24973603948873502,0.32030880921106863,0.30145666159314644
ACGY,0.41705477237701416,0.9091774367233756,0.7749837178205639,0.6315949848788691
ACH,-0.12974011898040771,-0.16092553702043233,-0.1981721177521365,-0.2014733887018969
ACHC,0.1028892993927002,0.09061090223071899,-0.09540703931968841,-0.05044353103109134
ACHN,0.24826836585998535,-0.3222686072689285,0.3047350308405402,0.3181361226756064
ACIA,0.06805598735809326,-0.29032477698016,0.13136374850891486,0.15263419463349615
ACIW,0.10055416822433472,-0.0063538419506234955,0.04796770693035546,0.11554799503170443
ACL,0.6616106927394867,-0.7972639579148924,0.5958293708573574,0.7135370316712638
ACLI,0.2509937286376953,-0.007958931542381142,0.43153923244176406,-0.024091250669753483
ACM,0.05321526527404785,0.02893688198896438,0.054579115937420264,0.019564261280003548
ACMP,0.5501863658428192,-0.19431619553400226,0.3820710794097645,0.371589149110663
ACN,0.24523073434829712,-0.0037497989332899717,0.17925690872696387,0.14510419499869465
ACO,0.09279727935791016,0.0955871568099399,-0.07380152851002375,-0.05570166588570924
ACOM,0.02974909543991089,0.2815698076830965,0.012247809904868623,0.001023304568838812
ACOR,0.08446109294891357,0.04373433138631877,0.16527672613386246,0.15858337340346584
ACRE,0.384438157081604,0.3908448159474882,0.1713053177100139,0.17074468196794568
ACRS,-0.21969342231750488,-0.14157094853231245,-0.21522243662095852,-0.20254629941580893
ACRX,0.03212934732437134,9.781710626555196e-05,0.1655158004717172,0.11867248948006859
ACS,0.030100703239440918,0.07404819792470785,0.34231746170124655,0.47930568759503767
ACSF,0.7699949741363525,-1.4487663473266532,0.7222870201733428,0.7187774745731215
